Date,Open,High,Low,Close,Adj Close,Volume
2014-03-11,3.824000,3.842000,3.810000,3.836000,3.041376,5255035
2014-03-12,3.790000,3.810000,3.752000,3.806000,3.017590,8179998
2014-03-13,3.802000,3.810000,3.770000,3.770000,2.989047,8922352
2014-03-14,3.768000,3.786000,3.732000,3.740000,2.965262,7545504
2014-03-17,3.750000,3.850000,3.746000,3.850000,3.052475,7885496
2014-03-18,3.836000,3.892000,3.828000,3.880000,3.076261,6944110
2014-03-19,3.858000,3.878000,3.838000,3.866000,3.065161,5922483
2014-03-20,3.854000,3.888000,3.834000,3.864000,3.063575,6201136
2014-03-21,3.844000,3.870000,3.832000,3.832000,3.038204,6244743
2014-03-24,3.830000,3.858000,3.782000,3.792000,3.006490,7437032
2014-03-25,3.808000,3.824000,3.754000,3.764000,2.984290,10688035
2014-03-26,3.788000,3.826000,3.782000,3.810000,3.020761,9177840
2014-03-27,3.818000,3.850000,3.792000,3.850000,3.052475,9224597
2014-03-28,3.862000,3.934000,3.854000,3.932000,3.117489,10545333
2014-03-31,3.926000,3.934000,3.882000,3.888000,3.082604,7065898
2014-04-01,3.890000,3.918000,3.882000,3.918000,3.106389,4851810
2014-04-02,3.924000,3.928000,3.882000,3.882000,3.077847,7138912
2014-04-03,3.894000,3.906000,3.872000,3.886000,3.081018,6963254
2014-04-04,3.888000,3.936000,3.886000,3.936000,3.120661,5480062
2014-04-07,3.922000,3.998000,3.914000,3.924000,3.111146,9211974
2014-04-08,3.936000,3.936000,3.852000,3.852000,3.054061,8653013
2014-04-09,3.874000,3.924000,3.870000,3.904000,3.095289,8341069
2014-04-10,3.918000,3.918000,3.824000,3.856000,3.057233,10488203
2014-04-11,3.852000,3.868000,3.812000,3.842000,3.046133,9289506
2014-04-14,3.850000,3.878000,3.828000,3.876000,3.073089,8113877
2014-04-15,3.880000,3.884000,3.816000,3.816000,3.025519,8415799
2014-04-16,3.826000,3.890000,3.826000,3.890000,3.084190,6948402
2014-04-17,3.894000,3.894000,3.852000,3.876000,3.073089,7225496
2014-04-22,3.880000,3.926000,3.856000,3.926000,3.112732,4797950
2014-04-23,3.914000,3.924000,3.880000,3.880000,3.076261,3894851
2014-04-24,3.904000,3.914000,3.862000,3.896000,3.088946,5435440
2014-04-25,3.884000,3.892000,3.832000,3.844000,3.047719,4336571
2014-04-28,3.842000,3.876000,3.836000,3.852000,3.054061,5473423
2014-04-29,3.874000,3.918000,3.870000,3.918000,3.106389,6441390
2014-04-30,3.916000,3.916000,3.884000,3.900000,3.092118,4339621
2014-05-02,3.914000,3.926000,3.900000,3.916000,3.104804,4744334
2014-05-05,3.926000,3.950000,3.910000,3.940000,3.123832,8898776
2014-05-06,3.940000,3.958000,3.912000,3.930000,3.115904,4824370
2014-05-07,3.934000,3.934000,3.892000,3.896000,3.088946,6043923
2014-05-08,3.904000,3.944000,3.894000,3.934000,3.119075,6008028
2014-05-09,3.926000,3.948000,3.920000,3.934000,3.119075,7045252
2014-05-12,3.938000,4.044000,3.934000,4.028000,3.193603,13369221
2014-05-13,4.044000,4.064000,3.970000,3.978000,3.153960,9840838
2014-05-14,4.010000,4.020000,3.954000,3.980000,3.155546,6869518
2014-05-15,3.980000,3.986000,3.840000,3.860000,3.060404,21725571
2014-05-16,3.900000,3.900000,3.866000,3.880000,3.076261,10182443
2014-05-19,3.878000,3.898000,3.834000,3.862000,3.061989,8192608
2014-05-20,3.844000,3.860000,3.804000,3.806000,3.017590,10045984
2014-05-21,3.804000,3.818000,3.790000,3.798000,3.011247,8612136
2014-05-22,3.810000,3.810000,3.780000,3.792000,3.006490,6135443
2014-05-23,3.800000,3.814000,3.764000,3.814000,3.023933,5451057
2014-05-26,3.866000,3.934000,3.860000,3.934000,3.119075,9331937
2014-05-27,3.916000,3.934000,3.870000,3.876000,3.073089,7788107
2014-05-28,3.884000,3.884000,3.852000,3.864000,3.063575,6752281
2014-05-29,3.872000,3.874000,3.850000,3.860000,3.060404,5530131
2014-05-30,3.860000,3.894000,3.850000,3.894000,3.087361,3808286
2014-06-02,3.898000,3.972000,3.888000,3.972000,3.149203,6717143
2014-06-03,3.978000,3.990000,3.958000,3.966000,3.144446,6210569
2014-06-04,3.984000,3.984000,3.948000,3.966000,3.144446,4844613
2014-06-05,3.980000,4.030000,3.974000,4.020000,3.187260,10192527
2014-06-06,3.984000,4.018000,3.976000,4.008000,3.177746,7857993
2014-06-09,4.020000,4.042000,4.012000,4.042000,3.204702,5731353
2014-06-10,4.050000,4.068000,4.028000,4.068000,3.225317,4915756
2014-06-11,4.078000,4.086000,4.030000,4.044000,3.206289,6180043
2014-06-12,4.052000,4.060000,4.020000,4.040000,3.203117,4700211
2014-06-13,4.006000,4.030000,3.992000,4.020000,3.187260,5961844
2014-06-16,4.026000,4.044000,4.002000,4.020000,3.187260,5455680
2014-06-17,4.002000,4.048000,4.002000,4.036000,3.199946,6021635
2014-06-18,4.030000,4.050000,4.030000,4.050000,3.211046,5261253
2014-06-19,4.060000,4.114000,4.046000,4.100000,3.250688,11440641
2014-06-20,4.132000,4.140000,4.082000,4.114000,3.261788,10292996
2014-06-23,4.000000,4.040000,3.926000,3.926000,3.214302,13911347
2014-06-24,3.922000,3.954000,3.900000,3.940000,3.225764,9152123
2014-06-25,3.924000,3.936000,3.878000,3.884000,3.179916,9029568
2014-06-26,3.898000,3.918000,3.876000,3.914000,3.204478,9105002
2014-06-27,3.908000,3.920000,3.892000,3.900000,3.193016,4950306
2014-06-30,3.892000,3.922000,3.852000,3.852000,3.153717,7136739
2014-07-01,3.870000,3.888000,3.844000,3.886000,3.181553,7544873
2014-07-02,3.882000,3.950000,3.880000,3.922000,3.211027,5201237
2014-07-03,3.936000,3.948000,3.914000,3.936000,3.222490,4534742
2014-07-04,3.946000,3.946000,3.894000,3.900000,3.193016,3343367
2014-07-07,3.906000,3.926000,3.882000,3.882000,3.178278,3515201
2014-07-08,3.898000,3.924000,3.872000,3.872000,3.170091,6067307
2014-07-09,3.878000,3.890000,3.856000,3.886000,3.181553,5384049
2014-07-10,3.878000,3.898000,3.844000,3.844000,3.147167,7081822
2014-07-11,3.862000,3.896000,3.858000,3.892000,3.186466,3927679
2014-07-14,3.896000,3.904000,3.850000,3.888000,3.183191,4571419
2014-07-15,3.872000,3.898000,3.850000,3.854000,3.155354,3692911
2014-07-16,3.874000,3.950000,3.860000,3.950000,3.233952,4898935
2014-07-17,3.938000,3.948000,3.890000,3.890000,3.184829,3220501
2014-07-18,3.900000,3.912000,3.862000,3.892000,3.186466,4881731
2014-07-21,3.900000,3.908000,3.858000,3.866000,3.165179,4339617
2014-07-22,3.900000,3.996000,3.886000,3.996000,3.271613,6856513
2014-07-23,3.974000,3.994000,3.952000,3.980000,3.258513,4327695
2014-07-24,3.986000,4.026000,3.968000,4.026000,3.296175,5022959
2014-07-25,4.028000,4.028000,4.000000,4.008000,3.281437,4758964
2014-07-28,4.022000,4.024000,3.984000,4.018000,3.289625,3117827
2014-07-29,4.026000,4.070000,4.006000,4.058000,3.322373,5404235
2014-07-30,4.058000,4.058000,3.980000,3.998000,3.273250,5431479
2014-07-31,4.000000,4.004000,3.926000,3.932000,3.219214,6020844
2014-08-01,3.930000,3.942000,3.864000,3.878000,3.175004,5868124
2014-08-04,3.882000,3.906000,3.856000,3.870000,3.168454,3738496
2014-08-05,3.870000,3.896000,3.820000,3.820000,3.127517,5535246
2014-08-06,3.820000,3.838000,3.750000,3.750000,3.070207,7388231
2014-08-07,3.750000,3.796000,3.722000,3.722000,3.047283,8927390
2014-08-08,3.710000,3.762000,3.700000,3.708000,3.035821,6991572
2014-08-11,3.748000,3.760000,3.712000,3.760000,3.078394,4917703
2014-08-12,3.760000,3.778000,3.728000,3.752000,3.071845,3301319
2014-08-13,3.786000,3.792000,3.734000,3.742000,3.063657,4002422
2014-08-14,3.746000,3.790000,3.718000,3.764000,3.081669,4932349
2014-08-18,3.788000,3.854000,3.784000,3.824000,3.130792,6143622
2014-08-19,3.836000,3.838000,3.750000,3.778000,3.093131,4628804
2014-08-20,3.770000,3.838000,3.770000,3.810000,3.119330,4782912
2014-08-21,3.820000,3.880000,3.810000,3.880000,3.176641,4180493
2014-08-22,3.864000,3.890000,3.842000,3.860000,3.160266,3171388
2014-08-25,3.890000,3.938000,3.886000,3.938000,3.224127,4091902
2014-08-26,3.920000,3.970000,3.904000,3.970000,3.250326,4719762
2014-08-27,3.948000,3.970000,3.920000,3.950000,3.233952,5788794
2014-08-28,3.946000,3.970000,3.906000,3.918000,3.207752,4958581
2014-08-29,3.914000,3.948000,3.880000,3.920000,3.209390,4247068
2014-09-01,3.928000,3.950000,3.922000,3.930000,3.217577,2885232
2014-09-02,3.950000,3.980000,3.926000,3.960000,3.242139,3956515
2014-09-03,3.966000,4.018000,3.966000,4.016000,3.287987,6398134
2014-09-04,3.992000,4.076000,3.992000,4.074000,3.335473,7461251
2014-09-05,4.076000,4.104000,4.062000,4.104000,3.360035,6828484
2014-09-08,4.082000,4.100000,4.064000,4.080000,3.340385,6096672
2014-09-09,4.068000,4.070000,4.010000,4.026000,3.296175,5616164
