Date,Open,High,Low,Close,Adj Close,Volume
2013-03-27,157.600006,157.600006,153.399994,155.600006,136.989563,1018758
2013-03-28,155.500000,157.300003,154.550003,155.000000,136.461319,1036083
2013-04-02,155.399994,158.449997,154.850006,157.600006,138.750351,927888
2013-04-03,157.949997,158.300003,155.949997,156.149994,137.473755,1058784
2013-04-04,155.949997,158.500000,154.449997,156.100006,137.429764,905031
2013-04-05,156.699997,156.899994,153.199997,154.449997,135.977097,1045433
2013-04-08,155.600006,156.899994,153.899994,156.100006,137.429764,700191
2013-04-09,156.949997,157.649994,150.399994,152.000000,133.820114,1694880
2013-04-10,151.050003,154.500000,151.050003,152.699997,134.436401,1150541
2013-04-11,153.000000,153.199997,151.350006,152.850006,134.568466,902647
2013-04-12,151.899994,152.500000,146.199997,147.800003,130.122467,2008813
2013-04-15,147.949997,147.949997,143.550003,144.850006,127.525299,1215803
2013-04-16,143.949997,146.800003,143.550003,145.699997,128.273636,1279240
2013-04-17,146.550003,146.899994,140.649994,141.449997,124.531952,1844749
2013-04-18,142.100006,142.399994,136.600006,138.500000,121.934776,2294674
2013-04-19,139.350006,141.550003,138.550003,141.000000,124.135780,1809301
2013-04-22,142.399994,143.449997,140.949997,142.100006,125.104202,1159173
2013-04-23,142.199997,147.000000,140.050003,146.899994,129.330109,1499132
2013-04-24,147.000000,153.550003,146.399994,150.699997,132.675613,2148969
2013-04-25,151.550003,153.850006,150.350006,152.600006,134.348373,1133006
2013-04-26,149.350006,150.649994,147.149994,148.100006,133.501022,1224124
2013-04-29,147.699997,153.649994,147.250000,152.000000,137.016571,1409942
2013-04-30,153.699997,155.250000,153.149994,153.899994,138.729279,1326889
2013-05-02,153.500000,153.800003,150.750000,152.500000,137.467316,1260762
2013-05-03,153.899994,158.949997,152.250000,158.000000,142.425125,1672675
2013-05-06,157.899994,158.199997,156.500000,157.000000,141.523712,568412
2013-05-07,156.899994,158.750000,156.050003,158.000000,142.425125,856757
2013-05-08,158.199997,159.800003,158.050003,158.350006,142.740662,764544
2013-05-09,158.399994,159.449997,157.100006,159.050003,143.371628,488347
2013-05-10,159.199997,161.000000,157.449997,157.649994,142.109650,1005754
2013-05-13,157.500000,157.800003,154.600006,156.949997,141.478622,633197
2013-05-14,157.300003,160.899994,155.149994,160.250000,144.453323,1003028
2013-05-15,161.000000,163.500000,160.500000,162.699997,146.661819,1062151
2013-05-16,162.699997,163.149994,161.350006,162.350006,146.346329,582795
2013-05-17,162.449997,168.949997,161.899994,168.399994,151.799957,2136067
2013-05-20,169.000000,174.899994,168.649994,173.850006,156.712723,1483159
2013-05-21,172.899994,173.500000,169.750000,171.600006,154.684509,1034992
2013-05-22,171.800003,173.899994,170.550003,172.500000,155.495804,977610
2013-05-23,165.500000,168.600006,163.399994,168.000000,151.439377,1647875
2013-05-24,167.850006,168.899994,164.399994,166.600006,150.177399,1080143
2013-05-27,167.100006,168.350006,166.149994,167.550003,151.033752,392669
2013-05-28,167.449997,169.050003,166.000000,167.449997,150.943588,1097572
2013-05-29,166.300003,168.149994,165.550003,166.800003,150.357666,876658
2013-05-30,166.449997,168.899994,165.699997,168.149994,151.574585,694589
2013-05-31,167.800003,169.800003,166.449997,168.949997,152.295731,868714
2013-06-03,167.600006,169.500000,165.350006,167.050003,150.583023,954150
2013-06-04,168.550003,169.149994,163.550003,165.250000,148.960449,1126141
2013-06-05,164.100006,165.750000,163.100006,164.500000,148.284378,788137
2013-06-06,164.000000,165.850006,162.100006,162.350006,146.346329,955414
2013-06-07,162.600006,168.100006,160.100006,166.250000,149.861877,1225556
2013-06-10,168.500000,169.800003,165.800003,168.000000,151.439377,1004305
2013-06-11,167.399994,168.000000,163.649994,165.149994,148.870300,1247959
2013-06-12,161.500000,161.899994,158.649994,159.699997,143.957550,2076550
2013-06-13,156.949997,158.399994,155.100006,158.000000,142.425125,1412424
2013-06-14,160.000000,160.699997,158.350006,159.149994,143.461777,909628
2013-06-17,160.300003,164.000000,160.100006,162.300003,146.301270,1138020
